문서 번호,제목,질문,위치 고유번호,조회수,질문 날짜
478003349,질문경기도 용인에 아버지 생신에 가기 좋은 식당??ㅠㅠ,어른으로만 5명으로 구성된 가족입니다 부탁드립니다!,120923, 19,2024.11.17
477970629,질문5002A버스 주말에 사람 많이 타나요?,일요일에 고진역입구에서 신논현역 까지 5002A버스 타고 가려 하는데 사람 많이 타나요?,120923, 21,2024.11.16
477856672,질문경기도 용인시 수지구 상현동 성원쌍떼빌,쌍떼빌 아파트에 수영장 시설이 있다고 들었는데 강습요일이 어떻게 될까요?강습료는 얼마정도인가요?,120923, 24,2024.11.15
477914298,질문에버라인 완공일,2011년에 용인 으로 이사와서 본게 처음이라 완공일이 궁금해서 검색하는데 나무위키에 완공일 은 안뜨고 개통일이 뜨네요 완공 언제 했나요?,120923, 21,2024.11.15
477910558,질문용인 인천공항,용인에 안 살아서 잘 모르는데 저 사진에서 동그라미 쳐 있는 부분(용인)이 정확한 위치가 어디일까요? (주소 지도 정확한 버스 정류장 이름) 알려주세요 ㅠㅠ 그리고 버스타고 앱으로 예매하는데 지금 저 용인에서 인천공항1 가는 버스가 8852 버스 맞나요?,120923, 23,2024.11.15
477876631,질문시외버스 1329 버스 요금,백암터미널에서 서울남부터미널까지 1329 버스요금 얼마나 하나요?,120923, 20,2024.11.14
477871913,질문한국의 경상수지흑자규모 외환보유고 평균수명 개인주,한국의 경상수지흑자규모 외환보유고 평균수명 개인주택 자가용 보유비율은 세계 최고 수준인가요?,120923, 18,2024.11.14
477861340,질문아이폰5 중고거래,8만원에 파신다고하는데 어떤가요 살까요말까요 학생인데 자글자글한 사진찍고싶어서 구매해요 경제적 여유는 없어서 신중히 구매해야합니다ㅠㅜ 급해요,120923, 11,2024.11.13
477858894,질문용인 수원 맛집추천해주세요,친척사촌끼리 9명에서 10명이 갈수 있는 맛집 추천 해주시면 감사하겠습니다,120923, 37,2024.11.13
477834477,질문용인고림고 화장실,고림고 홈페이지에 시설배치도 보면 여자화장실이 3 4층은 없던거 같던데 진짠가요? 여교사화장실만 있던데... 그리고 고림고 교실은 다른 학교랑 비교했을 때 어느정도인지 책상이랑 의자는 괜찮은지 궁금합니다...! 가급적 재학생이나 졸업생분들 답변 부탁드려요ㅠ,120923, 24,2024.11.13
477817663,질문용인 용인고등학교 등교시간 언제까지인가요???,용인고 갈려고하는데 등교시간이 언제까진가요ㅠ제발알려주새요,120923, 19,2024.11.12
477732737,질문보라동 거주하는 애들 흥덕고 오나요?,보라중상갈중나곡중 다니는 애들 흥덕고 오나요?,120923, 38,2024.11.11
477717032,질문용인동백지구에 대해 현실적인 정보 부탁드려요^,안녕하세요. 이사를 고민 중인데요 용인동백지구로 가고 싶은데 현재 중2. 초6학년이 있어서 학교 분위기 좋고 학원가 가까운곳으로 가고 싶은데 동백지구에 대해 아는게 너무 없어요. 그리고 지금 아파트에 살고 있어서 주택살이가 해보고 싶은데 아이들 학교나 학원이 걸리지 않을까도 싶고 이것저것 걱정이 많네요. 동백지구에 대해 현실적인 정보 부탁 드려요. 검색 해봐도 잘 모르겠어요. 도와 주세요^^^^;;;;,120923, 32,2024.11.11
477684331,질문용인시 모현읍의 귀농 지원 정책들을 알려주시겠습니까?,우리나라의 농촌 지역들은 귀농인에게 보통 약 5억원 정도의 귀농 지원 융자금을 적은 이자율로 지원해 주고 있습니다. 귀농인에게 약 17억원 정도의 귀농 지원 융자금을 지원해 주는 곳도 있습니다. 경기도 용인시 모현읍은 귀농인을 위해 어떤 귀농 지원 정책들을 시행하고 있는지 알려주시면 대단히 감사하겠습니다.,120923, 32,2024.11.11
477753049,질문용인 프로축구단 창단은??,인구 백만이 넘는 경기도의 대표 용인에 프로축구단 창단은 언제 되나요? 몇년전부터 창단한다고 설만 무성하더니 올해는 되는지요. 정치인들이 선거공약으로도 내놓은 정책인데 뭐하는지 모르겠습니다. 요즈음처럼 답답할 때 축구라도 한마음으로 뭉칠 수 있으면 좋겠습니다. 좀 빨리 안될까요??,120923, 21,2024.11.11
477749189,질문에버랜드 플랜잇 큐패스,5인 다자녀가구입니다.24년 11월 23일 에버랜드갈려하는데요 스마트폰에서 18일날 오후3시 사파리로스트밸리스페셜투어 신청하는거맞죠? 그리고 실패했다고 가정했을때 큐패스를할려하는데 그것도 17일날 오후 12시에 신청하는거맞나요?? 그렇다면 성인2명 아이3명(미취학1명) 어떻게 끊어야하는거죠?? 상세히좀 알려주세요 너무어렵습니다.,120923, 20,2024.11.11
477734682,질문용인고등학교 내일 수요일 시간표 인가요?,아니 컴시간 시1111발 다다음주 왜 수목 쉬나요,120923, 28,2024.11.10
477711761,질문용인시 현재(2024년)총 인구 몇명인가요?,현재(2024년)기준 용인시 총 인구는 얼마나 되나요?,120923, 31,2024.11.10
477703801,질문17죽전역은,무엇이 유명한가요,120923, 23,2024.11.10
477676494,질문용인수원서현,용인 사는데 수원이랑 서현처럼 10대 여자애들이 놀수읶믄데 1시간 정도만 걸리는 곳 ㅊㅊ좀요 제발 급해여ㅍㅠㅠㅠ,120923, 27,2024.11.09
477619763,질문2023 청덕고...,2023 청덕고1 1학기 중간 수학 답지+배점표 있으신분ㅠㅠ 답지나 배점표 하나만이라도ㅠ,120923, 20,2024.11.09
477654343,질문서천고등학교 장점 단점,용인시에 있는 서천고등학교의 장점과 단점을 자세하게 알려주실 분 계실까요?,120923, 12,2024.11.08
477633404,질문혜성특급 일반대기인가요?,예약제면 무슨무슨부 예약 마감이라 뜨던데 이건 그냥 정상운행이라 뜨던디,120923, 23,2024.11.08
477561255,질문신갈고등학교,안녕하세요 제가 고등학교 진학에 대해 고민이 있어 질문을 남기게 되었습니다 어디 고등학교를 갈지 고민 중인데 고민 중인 학교에 신갈고등학교도 포함이 되어있어요. 신갈고등학교의 장점과 단점을 자세하게 알려주시면 감사하겠습니다! 결론: 신갈고 장점과 단점을 자세하게 알고싶습니다,120923, 43,2024.11.07
477530360,질문에버랜드 셔틀버스 왕복 질문,종로3가역 <-> 에버랜드 왕복권을 구매했는데 에버랜드 갈 때는 광역버스 타고 돌아올 때만 셔틀버스를 타려고 합니다ㅠㅠ 돌아올 때만 셔틀버스 타는 것도 가능할까요?,120923, 27,2024.11.07
477571820,질문용인시청 먹골,에버랜드가기전 숙소 용인시청으루 잡았는데요 여친이랑 놀기좋은곳이 어디일까요? 명지대역 용인중앙역 삼가역,120923, 22,2024.11.06
477546603,질문333빨강버스 가격,알려주세요,120923, 27,2024.11.06
